Final annotation,Text,English Translation
Stereotype,জটিল প্রযুক্তিগত ধারণা মেয়েদের বোধগম্য হয় না—এমন ধারণা প্রচলিত।,Loading...
Stereotype,মেয়েদের বিয়ের পর স্বামীর নামেই পরিচিত হওয়া উচিত,Loading...
Non Misogynistic,আপু নিজের নোট তৈরি করেন যা সবার কাজে লাগে,Loading...
Derogation,মেয়েটার একগুঁয়েমি সমস্যা সমাধান করতে দেয় না,Loading...
Non Misogynistic,শাড়িতেই নারীর সোন্দর্য,Loading...
Non Misogynistic,মহিলা বিভাগীয় প্রধানটি দলের প্রতিটি সদস্যকে সর্বোচ্চ সুযোগ দিচ্ছেন।,Loading...
Sexual Harassment,এই মেয়ে শরীর দেখিয়ে টাকা ইনকাম করে,Loading...
Stereotype,মেয়েদের পড়াশোনা বেশি হলে বিয়ে দিতে দেরি হয়,Girls who are more educated tend to get married later.
Derogation,"মেয়েটা অফিসে শুধু সময় নষ্ট করে, কাজ কিছুই হয় না।",Loading...
Derogation,মেয়েটার যোগব্যায়াম দেখলে মনে হয় হাড়গোড় নেই।,Loading...
Stereotype,সত্যি বলতে আজকালকার মেয়েদের রাজনীতি বোঝার ক্ষমতা প্রায় অস্তিত্বহীন।,Loading...
Non Misogynistic,মেয়েটার দক্ষতা ও উদ্যম তাকে প্রতিটি পদে সফল করেছে।,Loading...
Stereotype,"মিলিটারি-পুলিশের নেতৃত্বে মেয়েরা ফিট না, তা না হলে সমাজ চলে কীভাবে?",Loading...
Non Misogynistic,দিদির বেতের আসবাব শিল্প মানের,Loading...
Stereotype,মেয়েরা পর্বতারোহণে ছেলেদের মতো যেতে পারে না,Loading...
Non Misogynistic,বোনটি নিজের জীবনের মালিক,Loading...
Stereotype,"মেয়েরা সবার সাথে একসাথে ভালো থাকতে পারে না, পক্ষ নেয়",Loading...
Derogation,মেয়েটা প্রতিবন্ধী হলেও ভালোই সেয়ানা,Loading...
Non Misogynistic,মহিলা ব্যাংকার গ্রাহকের সাথে সম্মানজনক আচরণ করেন,Loading...
Sexual Harassment,"এই বুড়ি আসলে আবাসিকের পাঁচশ টাকার মাল, কারো বউ না",Loading...
Stereotype,"এখনকার মেয়েদের উচিত হাসির শব্দ যাতে ঘরের বাইরে না যায়, সেটা নিশ্চিত করা।",Loading...
Non Misogynistic,মেয়েটা নিজের পেশায় নতুন মানদণ্ড স্থাপন করেছে।,Loading...
Non Misogynistic,মেয়েটার সংগীত সাধনা তাকে একজন পরিপূর্ণ শিল্পী করে তুলেছে।,Loading...
Non Misogynistic,দিদির এই টিউটোরিয়ালটা না থাকলে কাজটা শেষ করতে পারতাম না,Loading...
Stereotype,পরিবারের সদস্যদের খাওয়া দাওয়ার খেয়াল রাখাই মেয়েদের আসল সেবা,Loading...
Derogation,মেয়েটার খেলা দেখলে মনে হয় প্রথমবার হাতে র্যাকেট ধরেছে।,Loading...
Non Misogynistic,সমাজে নারীর সমান অংশগ্রহণ নিশ্চিত হলে সামগ্রিক উন্নতি ত্বরান্বিত হয়।,Loading...
Non Misogynistic,মহিলা সুরকারটির সংগীত জাতীয় পরিচয়ের অংশ হয়ে উঠেছে।,Loading...
Stereotype,মেয়ে মানুষ অসুস্থ হলেও ঘরের কাজ থামে না,Loading...
